# ----------------------- ;
# 7D1N - v0.0.0.2         ;
# Проливка русского языка ;
# ----------------------- ;

CREATE TABLE `i18n_ru_ru` (
	# Зал ;
	    
	    message_object "hall_chair_1", "Кресло", "В нём удобно сидеть, мягкое...";
	    message_object "hall_couch_1", "Диван", "Как кресло, только на диване можно ещё и лежать, а в самом диване куча места, здесь можно спрятать целый труп, или даже два!";
	    message_object "hall_tv_cabinet_1", "Стол для телевизора", "Обычно на такой ставят телевизор, а ещё в нём есть полочки";
	    message_object "tvset_1", "ЖК Телевизор", "По такому показывали различные передачи, фильмы и мультики, в нём есть электроника";
    
    # Ванная ;
    
        message_object "bath_sink_1", "Умывальник", "С помощью него можно привести себя в порядок, но давайте рассуждать трезво - кому это надо?";
        message_object "bath_washer_1", "Стиральная машина", "Выстирывает вещи от грязи, в ней еть электроника";
        message_object "bath_1", "Ванна", "В ванной можно помыться, в ней есть металл";
	
	# Общее в помещениях ;
	
	    message_object "door_1", "Дверь", "Деревянная дверь, разделяющая комнаты";
	
	# Оружие ;

		message_object "weapon_system_hands", "Голые руки", "Лучше в них что нибудь взять, но если ничего нет, пойдёт и так";
		message_object "weapon_pistol_pm", "Пистолет ПМ", "Пистолет Макарова 9x18мм";

	# Патроны ;

		message_object "ammo_9x18", "Патроны 9x18мм", "Пистолетные патроны 9x18мм";

	# Ножи ;

		message_object "weapon_knife_kitchen", "Кухонный нож", "Нож с широким лезвием, хорошо разделывает мясо";

	# Гранаты ;

		message_object "weapon_grenade_f1", "Ф1", "Осколочная граната Ф1";
		message_object "weapon_grenade_rgd5", "РГД-5", "Ручная граната РГД-5";

	# Еда ;
		
		message_object "food_raw_roach", "Живой таракан", "Чёрный таракан, наверное он съедобен, но я бы не стал его есть... Пищит и противно трещит своим телом.";
		message_object "food_raw_fry_fish", "Мальки живца", "Очень мелкая рыбёшка, такими не наешься, но если взять побольше и засолить...";
		message_object "food_raw_larvae", "Личинка жука", "Склизкая и шевелится. Говорят, в них много белка...";

	# Предметы - инструменты ;
	
		message_object "tool/hacksaw", "Ножовка по металлу", "Небольшая пила, плохо справляется с деревом, зато может помочь перепилить арматуру или большую берцовую кость. Инструмент крайне медленный, если тебе срочно понадобилось распилить рельсу придётся запастить терпением, матюками и сменными полотнами...";
		message_object "tool/hammer", "Простой молоток", "Обычный молоток, им можно бить с обоих сторон. Гвозди, двери, головы зомбей и даже шурупы с саморезами - всё зависит от упорства и вложенной силы.";
		message_object "tool/multihammer", "Молоток с гвоздодёром", "С одной стороны молоток, с другой стороны гвоздодёр! Осталось намотать изоленту и добавить прицел, тогда твои пальцы будут в полном порядке...";
		message_object "tool/pruning_saw", "Садовая пила", "Грозный инструмент против кустарников, хорошо сидит в руке. Про этот культовый атрибут сняли целый ряд фильмов - Садовая пила, Садовая пила 2 и прочие части.";
		message_object "tool/flatheadscrewdriver", "Плоская отвёртка тип А", "Обычная отвёртка. Незаменимый инструмент. Бытует мнение, что плоской отвёрткой можно вкручивать таблетки в задницу, если под рукой нет кружки воды чтобы запить.";
		message_object "tool/phillipsscrewdriver", "Крестовая отвёртка тип Б", "Обычная отвёртка. В отличие от сраной плоской отвёртки, эта не соскальзывает, и не допускает перетягивания шурупа! Её можно метать во врагов, пока не воткнётся, а так же ковыряться в ушах и носу. Крестообразный наконечник - во истину гениальное изобретение.";
		message_object "tool/chisel", "Долото", "Широкое долото, хорошо работает по дереву. Чем долото отличается от стамески, спросите вы? А именно тем, что стамеска - исключительно ручной инструмент, по долоту же можно хреначить кувалдой, чтобы вошло поглубже.";
		message_object "tool/crowbar", "Лом", "Если тебе нужно что то вскрыть, или сбежать из Чёрной Мезы, этот инструмент - то что нужно! Этим ломом можно вскрывать двери, ящики, контейнеры, полки и даже хитрые жопы, которые позарились на ваш лут.";
		message_object "tool/sledgehammer", "Кувалда", "Довольно увесистая, такой можно сносить стены. Любая голова для этого инструмента превращается в арбуз, именно так и происходит, если сначала накатить, а потом попросить подержать гвоздь Петровича по словами \"щас всё будет...\"";
		message_object "tool/saw", "Ножовка по дереву", "Пила с широкими острыми зубьями. С помощью прямых рук ей можно распиливать брёвна, шпалы и асистентов фокусников, причём, последних не обязательно предупреждать что это не фокус...";
		message_object "tool/pliers", "Плоскогубцы", "Швейцарский нож - говно, по сравнению с этим золотым самородком. Вкрутить шуруп, вытащить гвоздь, подстричь ногти на ногах, сжать соски в тиски, и даже перекусить металлическую проволоку, а в крайнем случае можно кинуть их в глаз твоего неприятеля - список того что можно делать этим инструментом практически бесконечен!";
		message_object "tool/leveler", "Строительный уровень", "Незаменимая в хозяйстве металлическая линейка! Если тебе осточертели 15 сантиметровые школьные линейки, и хочется подержать в руках настоящий инструмент брутального мужика (я про линейку если что) - это то что тебе так не хватало! Длина измерения до 50 сантиметров, углы 45, 90, 180 градусов, погрешность в 1мм, три великолепных жидкостных уровня. Тебе всё ещё мало? Бери это дерьмо и проваливай!";
		message_object "tool/ruler", "Строительный уголок", "Это металлическая линейка позволяющая выполнять малоточные расчёты до 1мм, а ещё ей можно мерить углы в 90 градусов. Не смотря на то что чем то напоминает форму бумеранга, назад она не возвращается, можешь не пробовать.";
		message_object "tool/pipe_wrench", "Большой разводной ключ тип А", "Ключ к большим гайкам, ключ к трубам, ключ к успеху любого спора. Этим агрегатом одинаково удобно крутить гайки и ломать пальцы злодеям. Если бы мы были в скайриме, то персонаж получил бы +100 к убеждению.";
		message_object "tool/wrench1", "Малый разводной гаечный ключ тип Б", "Ключ позволяет открутить средние и малые гайки, к которым возможно подлезть. Довольно крепкий, хоть и не тяжёлый, так же им можно открывать кокосы и крошить орехи, в том числе те, что у ваших врагов.";
		message_object "tool/wrench2", "Средний трубчатый ключ тип В", "Строение ключа позволяет добраться до самых труднодоступных гаек и болтов невообразимой формы в виде 31, 13 и 7 гранников. Если бы Россомаха жил на Земле, он выращивал бы на своих руках именно эти трубчатые ключи, они такие же крутые как лезвия, но ещё и удобны в хозяйстве.";
		message_object "tool/pickaxe", "Кирка", "Ударный инструмент одна сторона которого для работы в первую очередь по камню, вторая позволяет работать по плотному грунту. Если ты не в шахте и не в чистом поле, не беда, обе стороны инструмента настолько универсальны и продуманы, что позволяют работать по тумбочкам, дверям, стенам и живым людям. У тебя может сесть батарейка в фонарике, кончится туалетная бумага в туалете, но кирка - никогда не подведёт.";
		message_object "tool/clippers", "Кусачки", "";

	# Группы инструментов ;
	
		message "tools/flatheadscrewdriver", "Плоская отвёртка тип А";
		message "tools/phillipsscrewdriver", "Крестовая отвёртка тип Б";
		message "tools/hammer", "Молоток";
		message "tools/saw", "Ножовка по дереву";
		message "tools/hacksaw", "Ножовка по металлу";
		message "tools/line", "Уголок";
		message "tools/shovel", "Лопата";
		message "tools/clippers", "Кусачки";
		message "tools/wrenchtypea", "Гаечный ключ тип А";
		message "tools/wrenchtypeb", "Гаечный ключ тип Б";
		message "tools/wrenchtypec", "Гаечный ключ тип В";
		message "tools/pliers", "Плоскогубцы";
		message "tools/pickaxe", "Кирка";
		message "tools/axe", "Топор";
		message "tools/knife", "Нож";
		message "tools/crowbar", "Лом";
		message "tools/sledgehammer", "Кувалда";

# UI ;

message "ui_menu_load_playerdata", "Загрузка данных о персонаже";
message "ui_menu_load_mapscene", "Загрузка мира";
message "ui_map_load_location", "Загрузка локации";
message "ui_location_load_navmesh", "Генерация поиска путей";
message "ui_location_load_rooms", "Генерация помещений";

message "ui_battle_actions_run", "Выполнить";
message "ui_battle_actions_cancel", "Отменить";
message "ui_battle_end_step", "Конец хода";

message "ui/skills/tabs_battle", "Битва";
message "ui/skills/tabs_loot", "Поиск";
message "ui/skills/tabs_craft", "Создание";
message "ui/skills/tabs_scrap", "Разбор";
message "ui/skills/tabs_main", "Общие";
message "ui/skills/available_points", "Доступно очков: ";
message "ui/skills/current_level", "Текущий уровень: ";
message "ui/skills/current_exp", "Опыт: ";

message "ui_loading", "Загрузка...";

message "ui_button_startgame", "Начать";
message "ui_button_players", "Выбор персонажа";
message "ui_button_settings", "Настройки";
message "ui_button_exit", "Выход";

message "ui_equip_cancel", "Отменить";
message "ui_equip_drop", "Снять";

message "ui_button_player_select", "Выбрать";
message "ui_button_player_add", "Создать";
message "ui_button_player_delete", "Удалить";
message "ui_button_player_cancel", "Отменить";
message "ui_player_enter_name", "Введите имя...";

message "ui_scan_hunt", "Мелкая охота";
message "ui_scan_inspect", "Исследовать местность";

message "ui/craft/title", "Создание предметов";
message "ui/craft/group_survive", "Выживание";
message "ui/craft/group_weapon", "Оружие";
message "ui/craft/group_tools", "Инструменты";

# Messages ;

message "msg_weight_mlg", "млг.";
message "msg_weight_g", "г.";
message "msg_weight_kg", "кг.";

message "msg_ap", "ОД";
message "msg_count", "ед.";

message "msg_name", "Имя";
message "msg_mainlevel", "Уровень";
message "msg_mainexp", "Опыт";
message "msg_mainpoints", "Свободных очков";
message "msg_protection", "Защита";
message "msg_health", "Здоровье";

message "msg_intellect", "Интеллект";
message "msg_strength", "Сила";
message "msg_agility", "Ловкость";
message "msg_endurance", "Выносливость";

message "msg_tool_not_founded", "<Нет>";

message "msg_battle_action_description1", "Вы совершаете";
message "msg_battle_action_attack_firearms", "стрельбу из оружия";
message "msg_battle_action_reload_firearms", "перезарядку оружия";
message "msg_battle_action_attack_edged", "атаку холодным оружием";
message "msg_battle_action_throw_edged", "бросок метательного оружия";
message "msg_battle_action_throw_grenade", "бросок гранаты";
message "msg_battle_action_move", "перемещение";
message "msg_battle_action_use", "действие над объектом";
message "msg_battle_action_description2", "На действие требуется";

message "msg_error_cant_do_exit", "Выход слишком далеко, мне нужно подойти к нему";
message "msg_error_cant_pickup_item", "Не могу подобрать, объект не пустой!";
message "msg_error_cant_enter_to_location", "Я не могу так рисковать в текущем состоянии! (Необходимо хотябы 10 единиц здоровья)";

message "msg_load_inet", "Интернет на устройстве";
message "msg_load_gps", "Геолокация на устройстве";
message "msg_load_on", "работает";
message "msg_load_off", "не работает";

message "msg_map_scan_wealth", "Богатство локации";
message "msg_map_scan_info_water_biom", "Всё вокруг затоплено примерно по колено, из-за воды очень трудно перемещаться. Кажется, в воде есть мелкая живность.";
message "msg_map_scan_info_wooden_biom", "Почву буквально захватили разросшиеся деревья и кустарники. В траве и на земле куча живности.";
message "msg_map_scan_info_sand_biom", "Ноги утопают в песке, кажется будто само время завязло в нём и замерло. Не видно ничего живого.";
message "msg_map_scan_info_exhausted_biom", "Воздух густой и тяжёлый, в нём летает пыль смешанная с туманом. Мухи как будто ничего не замечают, сбиваются в тучи и облепляют всё вокруг. Кроме мух здесь нет живности.";
message "msg_map_scan_info_earthquake_biom", "Почва приемущественно каменистая, испещрена трещинами уходящими глубоко под землю, а в некоторые трещины можно провалиться целиком. Кажется тут должна быть живность.";

message "msg_location_name", "Тип локации";

message "msg_location_open_space", "Открытая местность";
message "msg_location_house", "Жилой дом";
message "msg_location_stock", "Склад";
message "msg_location_super_market", "Супермаркет";
message "msg_location_tech_store", "Магазин техники";
message "msg_location_med", "Аптека";
message "msg_location_hospital", "Больница";
message "msg_location_army", "Военное здание";

message "msg_location_size_name", "Размер локации";

message "msg_location_size_small", "Маленькая";
message "msg_location_size_normal", "Нормальная";
message "msg_location_size_large", "Большая";

# Debug ;

message "ui_tmp_cleandb", "Очистить БД";
